cfg_file,solver,sp_iter,obj,ref_obj,residual
InequalityQP/5_1,ADAL,1,-1.1989518835548698,-1.1989519177629013,3.420803151854557e-08
InequalityQP/5_1,IRWA,1,-1.1989533505008878,-1.1989519177629013,1.4327379864731427e-06
InequalityQP/5_1,OSQP,141,-1.1989518383900863,-1.1989519177629013,7.937281498726634e-08
InequalityQP/5_2,ADAL,1,-0.6683312850679228,-0.6683391338007997,7.848732876847286e-06
InequalityQP/5_2,IRWA,1,-0.6683412623095962,-0.6683391338007997,2.1285087965505767e-06
InequalityQP/5_2,OSQP,230,-0.668337266956327,-0.6683391338007997,1.8668444726754885e-06
InequalityQP/5_3,ADAL,5,-0.5294094111164387,-0.529409193331406,2.1778503267455562e-07
InequalityQP/5_3,IRWA,5,-0.5294106374082653,-0.529409193331406,1.4440768593138031e-06
InequalityQP/5_3,OSQP,542,-0.5294074602656333,-0.529409193331406,1.7330657726688514e-06
InequalityQP/10_1,ADAL,6,-2.0136148101488,-2.0136106268338874,4.183314912697966e-06
InequalityQP/10_1,IRWA,6,-2.0136110754134937,-2.0136106268338874,4.4857960634914207e-07
InequalityQP/10_1,OSQP,298,-2.013621604854688,-2.0136106268338874,1.0978020800855859e-05
InequalityQP/10_2,ADAL,18,-0.5745620265381504,-0.5745632688398508,1.2423017003992953e-06
InequalityQP/10_2,IRWA,18,-0.574568365512046,-0.5745632688398508,5.0966721952816485e-06
InequalityQP/10_2,OSQP,441,-0.5745644675052891,-0.5745632688398508,1.1986654383511208e-06
InequalityQP/10_3,ADAL,13,-0.7504407010121877,-0.7504479094982166,7.208486028864591e-06
InequalityQP/10_3,IRWA,17,-0.750448899391618,-0.7504479094982166,9.898934013596872e-07
InequalityQP/10_3,OSQP,172,-0.7504462754133803,-0.7504479094982166,1.634084836332761e-06
InequalityQP/50_1,ADAL,1,-1.2506884583592912,-1.2506907379530632,2.2795937719699566e-06
InequalityQP/50_1,IRWA,1,-1.250692043585186,-1.2506907379530632,1.3056321228610557e-06
InequalityQP/50_1,OSQP,268,-1.2506904259270506,-1.2506907379530632,3.1202601258328855e-07
InequalityQP/50_2,ADAL,8,-1.2984322165576385,-1.2984188395868628,1.3376970775746955e-05
InequalityQP/50_2,IRWA,249,-1.2984219205632395,-1.2984188395868628,3.0809763766903586e-06
InequalityQP/50_2,OSQP,253,-1.298419837442566,-1.2984188395868628,9.978557031775637e-07
InequalityQP/50_3,ADAL,18,-1.1735290099573203,-1.1735355994862504,6.589528930067701e-06
InequalityQP/50_3,IRWA,18,-1.1735377741039992,-1.1735355994862504,2.1746177487624863e-06
InequalityQP/50_3,OSQP,232,-1.1735367117956805,-1.1735355994862504,1.1123094301179748e-06
InequalityQP/100_1,ADAL,2,-1.4169373808698376,-1.4169391667433313,1.785873493753698e-06
InequalityQP/100_1,IRWA,1,-1.4169400231469562,-1.4169391667433313,8.564036249048002e-07
InequalityQP/100_1,OSQP,316,-1.416939206885663,-1.4169391667433313,4.0142331680925736e-08
